Garhwali,RomanGarhwali,Hindi,English
"म्यार दोस्त तुम सँग बोलणो छाहूं, क्योंकि मि तैं समय छाही.","myar d host tum sang bolno chaahun, kyonki mi tain samay chahi.","मेरे दोस्त तुमसे बात करना चाहता हूँ, क्योंकि मुझे समय चाहिए.","My friend want to talk to you, because I need some time."
"हम तुम सँग बोलणो छाहूं, क्योंकि घौर पर ब्यो काम छ.","ham tum sang bolno chaahun, kyonki ghaur par byo kaam cha.","हम तुमसे बात करना चाहता हूँ, क्योंकि घर पर बहुत काम है.","We want to talk to you, because there is a lot of work at home."
"तुम आज काम पर जांदु छौं, क्योंकि घौर पर ब्यो काम छ.","tum aaj kaam par jandu chon, kyonki ghaur par byo kaam cha.","तुम आज काम पर जा रहा हूँ, क्योंकि घर पर बहुत काम है.","You am going to work today, because there is a lot of work at home."
"म्यार दोस्त खाणू बणादु छौं, क्योंकि मि तैं समय छाही.","myar d host khanu banadu chon, kyonki mi tain samay chahi.","मेरे दोस्त खाना बना रहा हूँ, क्योंकि मुझे समय चाहिए.","My friend am cooking food, because I need some time."
"मी बजार बटी समान ल्यै लक्यूं, क्योंकि मौसम भलू छ.","mi bazaar bati samaan lyae lyaun, kyonki mausam bhalu cha.","मैं बाज़ार से सामान लाया हूँ, क्योंकि मौसम अच्छा है.","I brought some items from the market, because the weather is nice."
"म्यार दोस्त खाणू बणादु छौं, क्योंकि घौर पर ब्यो काम छ.","myar d host khanu banadu chon, kyonki ghaur par byo kaam cha.","मेरे दोस्त खाना बना रहा हूँ, क्योंकि घर पर बहुत काम है.","My friend am cooking food, because there is a lot of work at home."
"वो खाणू बणादु छौं, क्योंकि घौर पर ब्यो काम छ.","wo khanu banadu chon, kyonki ghaur par byo kaam cha.","वह खाना बना रहा हूँ, क्योंकि घर पर बहुत काम है.","He am cooking food, because there is a lot of work at home."
"म्यार बहिण थोड़्को टहलणू निकळ्यूं, क्योंकि घौर पर ब्यो काम छ.","myar bahin thodko tahalnu niklu, kyonki ghaur par byo kaam cha.","मेरी बहन थोड़ा टहलने निकला हूँ, क्योंकि घर पर बहुत काम है.","My sister went for a small walk, because there is a lot of work at home."
"म्यार बहिण तेरु बाट देखुलुं, क्योंकि मौसम भलू छ.","myar bahin teru baat dekhulu, kyonki mausam bhalu cha.","मेरी बहन तुम्हारा इंतज़ार करूँगा, क्योंकि मौसम अच्छा है.","My sister will wait for you, because the weather is nice."
"म्यार दोस्त घौर जल्दी लौंटि आऊंलु, क्योंकि मि तैं समय छाही.","myar d host ghaur jaldi launti aunlu, kyonki mi tain samay chahi.","मेरे दोस्त घर जल्दी लौट आऊँगा, क्योंकि मुझे समय चाहिए.","My friend will return home early, because I need some time."
"लोग तुम सँग बोलणो छाहूं, तैमीं ब्यार नी जांदु.","log tum sang bolno chaahun, taimi byar ni jandu.","लोग तुमसे बात करना चाहता हूँ, इसलिए मैं बाहर नहीं जाऊँगा.","People want to talk to you, so I will not go outside."
"मी घौर जल्दी लौंटि आऊंलु, तैमीं ब्यार नी जांदु.","mi ghaur jaldi launti aunlu, taimi byar ni jandu.","मैं घर जल्दी लौट आऊँगा, इसलिए मैं बाहर नहीं जाऊँगा.","I will return home early, so I will not go outside."
"म्यार दोस्त बजार बटी समान ल्यै लक्यूं, क्योंकि मि तैं समय छाही.","myar d host bazaar bati samaan lyae lyaun, kyonki mi tain samay chahi.","मेरे दोस्त बाज़ार से सामान लाया हूँ, क्योंकि मुझे समय चाहिए.","My friend brought some items from the market, because I need some time."
"मी तुम सँग बोलणो छाहूं, लैकिमि मि तैं कु परेशानी नी छ.","mi tum sang bolno chaahun, laikin mi tain ku paresani ni cha.","मैं तुमसे बात करना चाहता हूँ, लेकिन मुझे कोई परेशानी नहीं है.","I want to talk to you, but I have no problem."
"तुम तुम सँग बोलणो छाहूं, तैमीं जल्दी निकळणो होलु.","tum tum sang bolno chaahun, taimi jaldi niklano holu.","तुम तुमसे बात करना चाहता हूँ, इसलिए जल्दी निकलना होगा.","You want to talk to you, so I have to leave early."
"म्यार दोस्त तेरु बाट देखुलुं, लैकिमि मि तैं कु परेशानी नी छ.","myar d host teru baat dekhulu, laikin mi tain ku paresani ni cha.","मेरे दोस्त तुम्हारा इंतज़ार करूँगा, लेकिन मुझे कोई परेशानी नहीं है.","My friend will wait for you, but I have no problem."
"वो किताब पड़दु छौं, लैकिमि मि तैं कु परेशानी नी छ.","wo kitaab paddu chon, laikin mi tain ku paresani ni cha.","वह किताब पढ़ रहा हूँ, लेकिन मुझे कोई परेशानी नहीं है.","He am reading a book, but I have no problem."
"बच्छा खाणू बणादु छौं, क्योंकि मि तैं समय छाही.","bachcha khanu banadu chon, kyonki mi tain samay chahi.","बच्चे खाना बना रहा हूँ, क्योंकि मुझे समय चाहिए.","Kids am cooking food, because I need some time."
"बच्छा घौर जल्दी लौंटि आऊंलु, तैमीं ब्यार नी जांदु.","bachcha ghaur jaldi launti aunlu, taimi byar ni jandu.","बच्चे घर जल्दी लौट आऊँगा, इसलिए मैं बाहर नहीं जाऊँगा.","Kids will return home early, so I will not go outside."
"वो तुम सँग बोलणो छाहूं, लैकिमि थोड़ो थक्यूं.","wo tum sang bolno chaahun, laikin mi thodko thakyu.","वह तुमसे बात करना चाहता हूँ, लेकिन थोड़ा थक गया हूँ.","He want to talk to you, but I am a little tired."
"मी आज काम पर जांदु छौं, तैकि काम रोकी गेलु.","mi aaj kaam par jandu chon, taiki kaam roki gelu.","मैं आज काम पर जा रहा हूँ, इस वजह से काम रुका है.","I am going to work today, so the work got delayed."
"माँ तुम सँग बोलणो छाहूं, क्योंकि मौसम भलू छ.","maa tum sang bolno chaahun, kyonki mausam bhalu cha.","माँ तुमसे बात करना चाहता हूँ, क्योंकि मौसम अच्छा है.","Mother want to talk to you, because the weather is nice."
"मी खाणू बणादु छौं, क्योंकि घौर पर ब्यो काम छ.","mi khanu banadu chon, kyonki ghaur par byo kaam cha.","मैं खाना बना रहा हूँ, क्योंकि घर पर बहुत काम है.","I am cooking food, because there is a lot of work at home."
"म्यार बहिण तुम सँग बोलणो छाहूं, तैमीं जल्दी निकळणो होलु.","myar bahin tum sang bolno chaahun, taimi jaldi niklano holu.","मेरी बहन तुमसे बात करना चाहता हूँ, इसलिए जल्दी निकलना होगा.","My sister want to talk to you, so I have to leave early."
"हम आज काम पर जांदु छौं, तैकि काम रोकी गेलु.","ham aaj kaam par jandu chon, taiki kaam roki gelu.","हम आज काम पर जा रहा हूँ, इस वजह से काम रुका है.","We am going to work today, so the work got delayed."
"लोग किताब पड़दु छौं, लैकिमि मि तैं कु परेशानी नी छ.","log kitaab paddu chon, laikin mi tain ku paresani ni cha.","लोग किताब पढ़ रहा हूँ, लेकिन मुझे कोई परेशानी नहीं है.","People am reading a book, but I have no problem."
"लोग खाणू बणादु छौं, क्योंकि मौसम भलू छ.","log khanu banadu chon, kyonki mausam bhalu cha.","लोग खाना बना रहा हूँ, क्योंकि मौसम अच्छा है.","People am cooking food, because the weather is nice."
"बच्छा थोड़्को टहलणू निकळ्यूं, क्योंकि घौर पर ब्यो काम छ.","bachcha thodko tahalnu niklu, kyonki ghaur par byo kaam cha.","बच्चे थोड़ा टहलने निकला हूँ, क्योंकि घर पर बहुत काम है.","Kids went for a small walk, because there is a lot of work at home."
"बाबू घौर जल्दी लौंटि आऊंलु, तैमीं जल्दी निकळणो होलु.","baboo ghaur jaldi launti aunlu, taimi jaldi niklano holu.","पिता घर जल्दी लौट आऊँगा, इसलिए जल्दी निकलना होगा.","Father will return home early, so I have to leave early."
"म्यार दोस्त थोड़्को टहलणू निकळ्यूं, क्योंकि मि तैं समय छाही.","myar d host thodko tahalnu niklu, kyonki mi tain samay chahi.","मेरे दोस्त थोड़ा टहलने निकला हूँ, क्योंकि मुझे समय चाहिए.","My friend went for a small walk, because I need some time."
"माँ तेरु बाट देखुलुं, तैमीं जल्दी निकळणो होलु.","maa teru baat dekhulu, taimi jaldi niklano holu.","माँ तुम्हारा इंतज़ार करूँगा, इसलिए जल्दी निकलना होगा.","Mother will wait for you, so I have to leave early."
"बाबू खाणू बणादु छौं, तैमीं ब्यार नी जांदु.","baboo khanu banadu chon, taimi byar ni jandu.","पिता खाना बना रहा हूँ, इसलिए मैं बाहर नहीं जाऊँगा.","Father am cooking food, so I will not go outside."
"बाबू किताब पड़दु छौं, क्योंकि मि तैं समय छाही.","baboo kitaab paddu chon, kyonki mi tain samay chahi.","पिता किताब पढ़ रहा हूँ, क्योंकि मुझे समय चाहिए.","Father am reading a book, because I need some time."
"म्यार बहिण किताब पड़दु छौं, लैकिमि थोड़ो थक्यूं.","myar bahin kitaab paddu chon, laikin mi thodko thakyu.","मेरी बहन किताब पढ़ रहा हूँ, लेकिन थोड़ा थक गया हूँ.","My sister am reading a book, but I am a little tired."
"हम आज काम पर जांदु छौं, लैकिमि थोड़ो थक्यूं.","ham aaj kaam par jandu chon, laikin mi thodko thakyu.","हम आज काम पर जा रहा हूँ, लेकिन थोड़ा थक गया हूँ.","We am going to work today, but I am a little tired."
"तुम खाणू बणादु छौं, तैमीं ब्यार नी जांदु.","tum khanu banadu chon, taimi byar ni jandu.","तुम खाना बना रहा हूँ, इसलिए मैं बाहर नहीं जाऊँगा.","You am cooking food, so I will not go outside."
"बाबू आज काम पर जांदु छौं, लैकिमि मि तैं कु परेशानी नी छ.","baboo aaj kaam par jandu chon, laikin mi tain ku paresani ni cha.","पिता आज काम पर जा रहा हूँ, लेकिन मुझे कोई परेशानी नहीं है.","Father am going to work today, but I have no problem."
"बच्छा तुम सँग बोलणो छाहूं, लैकिमि मि तैं कु परेशानी नी छ.","bachcha tum sang bolno chaahun, laikin mi tain ku paresani ni cha.","बच्चे तुमसे बात करना चाहता हूँ, लेकिन मुझे कोई परेशानी नहीं है.","Kids want to talk to you, but I have no problem."
"लोग तेरु बाट देखुलुं, क्योंकि मि तैं समय छाही.","log teru baat dekhulu, kyonki mi tain samay chahi.","लोग तुम्हारा इंतज़ार करूँगा, क्योंकि मुझे समय चाहिए.","People will wait for you, because I need some time."
"म्यार बहिण थोड़्को टहलणू निकळ्यूं, क्योंकि मि तैं समय छाही.","myar bahin thodko tahalnu niklu, kyonki mi tain samay chahi.","मेरी बहन थोड़ा टहलने निकला हूँ, क्योंकि मुझे समय चाहिए.","My sister went for a small walk, because I need some time."
"बच्छा नयकु सीखदु छौं, लैकिमि थोड़ो थक्यूं.","bachcha nayku seekhdu chon, laikin mi thodko thakyu.","बच्चे नया कुछ सीख रहा हूँ, लेकिन थोड़ा थक गया हूँ.","Kids am learning something new, but I am a little tired."
"वो किताब पड़दु छौं, तैकि काम रोकी गेलु.","wo kitaab paddu chon, taiki kaam roki gelu.","वह किताब पढ़ रहा हूँ, इस वजह से काम रुका है.","He am reading a book, so the work got delayed."
"वो आज काम पर जांदु छौं, तैकि काम रोकी गेलु.","wo aaj kaam par jandu chon, taiki kaam roki gelu.","वह आज काम पर जा रहा हूँ, इस वजह से काम रुका है.","He am going to work today, so the work got delayed."
"बच्छा आज काम पर जांदु छौं, क्योंकि मि तैं समय छाही.","bachcha aaj kaam par jandu chon, kyonki mi tain samay chahi.","बच्चे आज काम पर जा रहा हूँ, क्योंकि मुझे समय चाहिए.","Kids am going to work today, because I need some time."
"बाबू खाणू बणादु छौं, लैकिमि थोड़ो थक्यूं.","baboo khanu banadu chon, laikin mi thodko thakyu.","पिता खाना बना रहा हूँ, लेकिन थोड़ा थक गया हूँ.","Father am cooking food, but I am a little tired."
"बाबू घौर जल्दी लौंटि आऊंलु, क्योंकि मि तैं समय छाही.","baboo ghaur jaldi launti aunlu, kyonki mi tain samay chahi.","पिता घर जल्दी लौट आऊँगा, क्योंकि मुझे समय चाहिए.","Father will return home early, because I need some time."
"मी बजार बटी समान ल्यै लक्यूं, तैमीं जल्दी निकळणो होलु.","mi bazaar bati samaan lyae lyaun, taimi jaldi niklano holu.","मैं बाज़ार से सामान लाया हूँ, इसलिए जल्दी निकलना होगा.","I brought some items from the market, so I have to leave early."
"म्यार बहिण आज काम पर जांदु छौं, तैमीं ब्यार नी जांदु.","myar bahin aaj kaam par jandu chon, taimi byar ni jandu.","मेरी बहन आज काम पर जा रहा हूँ, इसलिए मैं बाहर नहीं जाऊँगा.","My sister am going to work today, so I will not go outside."
"तुम थोड़्को टहलणू निकळ्यूं, लैकिमि थोड़ो थक्यूं.","tum thodko tahalnu niklu, laikin mi thodko thakyu.","तुम थोड़ा टहलने निकला हूँ, लेकिन थोड़ा थक गया हूँ.","You went for a small walk, but I am a little tired."
"बच्छा खाणू बणादु छौं, लैकिमि मि तैं कु परेशानी नी छ.","bachcha khanu banadu chon, laikin mi tain ku paresani ni cha.","बच्चे खाना बना रहा हूँ, लेकिन मुझे कोई परेशानी नहीं है.","Kids am cooking food, but I have no problem."
"बाबू किताब पड़दु छौं, लैकिमि मि तैं कु परेशानी नी छ.","baboo kitaab paddu chon, laikin mi tain ku paresani ni cha.","पिता किताब पढ़ रहा हूँ, लेकिन मुझे कोई परेशानी नहीं है.","Father am reading a book, but I have no problem."
"माँ खाणू बणादु छौं, तैमीं जल्दी निकळणो होलु.","maa khanu banadu chon, taimi jaldi niklano holu.","माँ खाना बना रहा हूँ, इसलिए जल्दी निकलना होगा.","Mother am cooking food, so I have to leave early."
"हम तुम सँग बोलणो छाहूं, लैकिमि थोड़ो थक्यूं.","ham tum sang bolno chaahun, laikin mi thodko thakyu.","हम तुमसे बात करना चाहता हूँ, लेकिन थोड़ा थक गया हूँ.","We want to talk to you, but I am a little tired."
"बाबू तेरु बाट देखुलुं, तैमीं जल्दी निकळणो होलु.","baboo teru baat dekhulu, taimi jaldi niklano holu.","पिता तुम्हारा इंतज़ार करूँगा, इसलिए जल्दी निकलना होगा.","Father will wait for you, so I have to leave early."
"लोग थोड़्को आराम करणो छाहूं, तैकि काम रोकी गेलु.","log thodko aaram karno chaahun, taiki kaam roki gelu.","लोग थोड़ा आराम करना चाहता हूँ, इस वजह से काम रुका है.","People want to take some rest, so the work got delayed."
"तुम घौर जल्दी लौंटि आऊंलु, क्योंकि मि तैं समय छाही.","tum ghaur jaldi launti aunlu, kyonki mi tain samay chahi.","तुम घर जल्दी लौट आऊँगा, क्योंकि मुझे समय चाहिए.","You will return home early, because I need some time."
"माँ थोड़्को टहलणू निकळ्यूं, क्योंकि घौर पर ब्यो काम छ.","maa thodko tahalnu niklu, kyonki ghaur par byo kaam cha.","माँ थोड़ा टहलने निकला हूँ, क्योंकि घर पर बहुत काम है.","Mother went for a small walk, because there is a lot of work at home."
"माँ खाणू बणादु छौं, लैकिमि मि तैं कु परेशानी नी छ.","maa khanu banadu chon, laikin mi tain ku paresani ni cha.","माँ खाना बना रहा हूँ, लेकिन मुझे कोई परेशानी नहीं है.","Mother am cooking food, but I have no problem."
"मी थोड़्को आराम करणो छाहूं, लैकिमि मि तैं कु परेशानी नी छ.","mi thodko aaram karno chaahun, laikin mi tain ku paresani ni cha.","मैं थोड़ा आराम करना चाहता हूँ, लेकिन मुझे कोई परेशानी नहीं है.","I want to take some rest, but I have no problem."
"बच्छा तेरु बाट देखुलुं, तैमीं जल्दी निकळणो होलु.","bachcha teru baat dekhulu, taimi jaldi niklano holu.","बच्चे तुम्हारा इंतज़ार करूँगा, इसलिए जल्दी निकलना होगा.","Kids will wait for you, so I have to leave early."
"बाबू तुम सँग बोलणो छाहूं, लैकिमि मि तैं कु परेशानी नी छ.","baboo tum sang bolno chaahun, laikin mi tain ku paresani ni cha.","पिता तुमसे बात करना चाहता हूँ, लेकिन मुझे कोई परेशानी नहीं है.","Father want to talk to you, but I have no problem."
"लोग किताब पड़दु छौं, लैकिमि थोड़ो थक्यूं.","log kitaab paddu chon, laikin mi thodko thakyu.","लोग किताब पढ़ रहा हूँ, लेकिन थोड़ा थक गया हूँ.","People am reading a book, but I am a little tired."
"हम बजार बटी समान ल्यै लक्यूं, लैकिमि मि तैं कु परेशानी नी छ.","ham bazaar bati samaan lyae lyaun, laikin mi tain ku paresani ni cha.","हम बाज़ार से सामान लाया हूँ, लेकिन मुझे कोई परेशानी नहीं है.","We brought some items from the market, but I have no problem."
"मी थोड़्को टहलणू निकळ्यूं, क्योंकि मौसम भलू छ.","mi thodko tahalnu niklu, kyonki mausam bhalu cha.","मैं थोड़ा टहलने निकला हूँ, क्योंकि मौसम अच्छा है.","I went for a small walk, because the weather is nice."
"हम बजार बटी समान ल्यै लक्यूं, क्योंकि घौर पर ब्यो काम छ.","ham bazaar bati samaan lyae lyaun, kyonki ghaur par byo kaam cha.","हम बाज़ार से सामान लाया हूँ, क्योंकि घर पर बहुत काम है.","We brought some items from the market, because there is a lot of work at home."
"हम खाणू बणादु छौं, लैकिमि थोड़ो थक्यूं.","ham khanu banadu chon, laikin mi thodko thakyu.","हम खाना बना रहा हूँ, लेकिन थोड़ा थक गया हूँ.","We am cooking food, but I am a little tired."
"माँ खाणू बणादु छौं, लैकिमि थोड़ो थक्यूं.","maa khanu banadu chon, laikin mi thodko thakyu.","माँ खाना बना रहा हूँ, लेकिन थोड़ा थक गया हूँ.","Mother am cooking food, but I am a little tired."
"माँ बजार बटी समान ल्यै लक्यूं, क्योंकि मौसम भलू छ.","maa bazaar bati samaan lyae lyaun, kyonki mausam bhalu cha.","माँ बाज़ार से सामान लाया हूँ, क्योंकि मौसम अच्छा है.","Mother brought some items from the market, because the weather is nice."
"हम बजार बटी समान ल्यै लक्यूं, लैकिमि थोड़ो थक्यूं.","ham bazaar bati samaan lyae lyaun, laikin mi thodko thakyu.","हम बाज़ार से सामान लाया हूँ, लेकिन थोड़ा थक गया हूँ.","We brought some items from the market, but I am a little tired."
"म्यार दोस्त नयकु सीखदु छौं, क्योंकि मौसम भलू छ.","myar d host nayku seekhdu chon, kyonki mausam bhalu cha.","मेरे दोस्त नया कुछ सीख रहा हूँ, क्योंकि मौसम अच्छा है.","My friend am learning something new, because the weather is nice."
"बाबू थोड़्को आराम करणो छाहूं, तैकि काम रोकी गेलु.","baboo thodko aaram karno chaahun, taiki kaam roki gelu.","पिता थोड़ा आराम करना चाहता हूँ, इस वजह से काम रुका है.","Father want to take some rest, so the work got delayed."
"वो तेरु बाट देखुलुं, क्योंकि घौर पर ब्यो काम छ.","wo teru baat dekhulu, kyonki ghaur par byo kaam cha.","वह तुम्हारा इंतज़ार करूँगा, क्योंकि घर पर बहुत काम है.","He will wait for you, because there is a lot of work at home."
"बच्छा खाणू बणादु छौं, तैमीं जल्दी निकळणो होलु.","bachcha khanu banadu chon, taimi jaldi niklano holu.","बच्चे खाना बना रहा हूँ, इसलिए जल्दी निकलना होगा.","Kids am cooking food, so I have to leave early."
"मी नयकु सीखदु छौं, लैकिमि थोड़ो थक्यूं.","mi nayku seekhdu chon, laikin mi thodko thakyu.","मैं नया कुछ सीख रहा हूँ, लेकिन थोड़ा थक गया हूँ.","I am learning something new, but I am a little tired."
"हम खाणू बणादु छौं, क्योंकि घौर पर ब्यो काम छ.","ham khanu banadu chon, kyonki ghaur par byo kaam cha.","हम खाना बना रहा हूँ, क्योंकि घर पर बहुत काम है.","We am cooking food, because there is a lot of work at home."
"म्यार बहिण थोड़्को टहलणू निकळ्यूं, लैकिमि मि तैं कु परेशानी नी छ.","myar bahin thodko tahalnu niklu, laikin mi tain ku paresani ni cha.","मेरी बहन थोड़ा टहलने निकला हूँ, लेकिन मुझे कोई परेशानी नहीं है.","My sister went for a small walk, but I have no problem."
"लोग घौर जल्दी लौंटि आऊंलु, तैमीं जल्दी निकळणो होलु.","log ghaur jaldi launti aunlu, taimi jaldi niklano holu.","लोग घर जल्दी लौट आऊँगा, इसलिए जल्दी निकलना होगा.","People will return home early, so I have to leave early."
"म्यार बहिण आज काम पर जांदु छौं, क्योंकि घौर पर ब्यो काम छ.","myar bahin aaj kaam par jandu chon, kyonki ghaur par byo kaam cha.","मेरी बहन आज काम पर जा रहा हूँ, क्योंकि घर पर बहुत काम है.","My sister am going to work today, because there is a lot of work at home."
"वो नयकु सीखदु छौं, तैमीं जल्दी निकळणो होलु.","wo nayku seekhdu chon, taimi jaldi niklano holu.","वह नया कुछ सीख रहा हूँ, इसलिए जल्दी निकलना होगा.","He am learning something new, so I have to leave early."
"बच्छा थोड़्को आराम करणो छाहूं, क्योंकि मि तैं समय छाही.","bachcha thodko aaram karno chaahun, kyonki mi tain samay chahi.","बच्चे थोड़ा आराम करना चाहता हूँ, क्योंकि मुझे समय चाहिए.","Kids want to take some rest, because I need some time."
"बच्छा थोड़्को टहलणू निकळ्यूं, लैकिमि थोड़ो थक्यूं.","bachcha thodko tahalnu niklu, laikin mi thodko thakyu.","बच्चे थोड़ा टहलने निकला हूँ, लेकिन थोड़ा थक गया हूँ.","Kids went for a small walk, but I am a little tired."
"बाबू थोड़्को टहलणू निकळ्यूं, तैमीं ब्यार नी जांदु.","baboo thodko tahalnu niklu, taimi byar ni jandu.","पिता थोड़ा टहलने निकला हूँ, इसलिए मैं बाहर नहीं जाऊँगा.","Father went for a small walk, so I will not go outside."
"हम थोड़्को टहलणू निकळ्यूं, लैकिमि मि तैं कु परेशानी नी छ.","ham thodko tahalnu niklu, laikin mi tain ku paresani ni cha.","हम थोड़ा टहलने निकला हूँ, लेकिन मुझे कोई परेशानी नहीं है.","We went for a small walk, but I have no problem."
"माँ घौर जल्दी लौंटि आऊंलु, तैकि काम रोकी गेलु.","maa ghaur jaldi launti aunlu, taiki kaam roki gelu.","माँ घर जल्दी लौट आऊँगा, इस वजह से काम रुका है.","Mother will return home early, so the work got delayed."
